algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,33,33,40,0.006998777389526367,True
DFS,1,477,477,902,0.2943727970123291,True
DLS,1,0,0,0,0.0029993057250976562,False
UCS e1,1,33,32,0,0.016999483108520508,True
UCS e2,1,33,0,40,0.020000457763671875,True
A*_e1,1,33,33,0,0.0030014514923095703,True
A*_e2,1,33,0,32,0.00299835205078125,True
aleatorio,1,0,0,0,0.0010001659393310547,False
BFS,2,59,59,81,0.03799939155578613,True
DFS,2,1123,1123,2157,0.26264023780822754,True
DLS,2,0,0,0,0.0019996166229248047,False
UCS e1,2,59,58,0,0.14999961853027344,True
UCS e2,2,59,0,81,0.16200041770935059,True
A*_e1,2,59,59,0,0.005999565124511719,True
A*_e2,2,59,0,58,0.006999969482421875,True
aleatorio,2,0,0,0,0.0030002593994140625,False
BFS,3,51,51,118,0.08998894691467285,True
DFS,3,625,625,1243,0.2721240520477295,True
DLS,3,0,0,0,0.001992464065551758,False
UCS e1,3,51,50,0,0.044962167739868164,True
UCS e2,3,51,0,118,0.13404250144958496,True
A*_e1,3,51,51,0,0.00699925422668457,True
A*_e2,3,51,0,50,0.0070037841796875,True
aleatorio,3,0,0,0,0.001994609832763672,False
BFS,4,9,9,18,0.001988649368286133,True
DFS,4,449,449,881,0.09801959991455078,True
DLS,4,0,0,0,0.0019936561584472656,False
UCS e1,4,9,8,0,0.0029518604278564453,True
UCS e2,4,9,0,18,0.007039070129394531,True
A*_e1,4,9,9,0,0.0020012855529785156,True
A*_e2,4,9,0,8,0.0020003318786621094,True
aleatorio,4,0,0,0,0.0019578933715820312,False
BFS,5,102,102,226,0.12195706367492676,True
DFS,5,2224,2224,4378,0.27804040908813477,True
DLS,5,0,0,0,0.003962993621826172,False
UCS e1,5,102,101,0,0.1739964485168457,True
UCS e2,5,102,0,226,0.08204054832458496,True
A*_e1,5,102,102,0,0.0050008296966552734,True
A*_e2,5,102,0,101,0.004001617431640625,True
aleatorio,5,0,0,0,0.0019986629486083984,False
BFS,6,23,23,48,0.005998373031616211,True
DFS,6,693,693,1354,0.04001879692077637,True
DLS,6,0,0,0,0.0029840469360351562,False
UCS e1,6,23,22,0,0.011034488677978516,True
UCS e2,6,23,0,48,0.04000234603881836,True
A*_e1,6,23,23,0,0.002992391586303711,True
A*_e2,6,23,0,22,0.0030052661895751953,True
aleatorio,6,0,0,0,0.001997709274291992,False
BFS,7,62,62,130,0.0249941349029541,True
DFS,7,2496,2496,4882,0.2830066680908203,True
DLS,7,0,0,0,0.001978635787963867,False
UCS e1,7,62,61,0,0.07399964332580566,True
UCS e2,7,62,0,130,0.09901070594787598,True
A*_e1,7,62,62,0,0.004010677337646484,True
A*_e2,7,62,0,61,0.003993988037109375,True
aleatorio,7,0,0,0,0.0020012855529785156,False
BFS,8,44,44,77,0.10594964027404785,True
DFS,8,1014,1014,1984,0.08504080772399902,True
DLS,8,0,0,0,0.0019876956939697266,False
UCS e1,8,44,43,0,0.031012296676635742,True
UCS e2,8,44,0,77,0.025998830795288086,True
A*_e1,8,44,44,0,0.0030014514923095703,True
A*_e2,8,44,0,43,0.003001689910888672,True
aleatorio,8,0,0,0,0.0019960403442382812,False
BFS,9,105,105,271,0.04095268249511719,True
DFS,9,1627,1627,3249,0.2329998016357422,True
DLS,9,0,0,0,0.005003452301025391,False
UCS e1,9,105,104,0,0.1580367088317871,True
UCS e2,9,105,0,271,0.1631464958190918,True
A*_e1,9,105,105,0,0.012027978897094727,True
A*_e2,9,105,0,104,0.01103353500366211,True
aleatorio,9,0,0,0,0.002966165542602539,False
BFS,10,87,87,174,0.03696012496948242,True
DFS,10,597,597,1192,0.027007341384887695,True
DLS,10,0,0,0,0.0030319690704345703,False
UCS e1,10,87,86,0,0.10696530342102051,True
UCS e2,10,87,0,174,0.12203717231750488,True
A*_e1,10,87,87,0,0.03799748420715332,True
A*_e2,10,87,0,86,0.03600144386291504,True
aleatorio,10,0,0,0,0.002001047134399414,False
BFS,11,96,96,109,0.2369999885559082,True
