Algoritmo,Iteración,Estados Visitados,Tiempos,Solución Óptima
Simulated Annealing,1,109,0.0010008811950683594,False
Simulated Annealing,2,144,0.001001596450805664,True
Simulated Annealing,3,2,0.0,False
Simulated Annealing,4,65,0.0,True
Simulated Annealing,5,6,0.0,True
Simulated Annealing,6,25,0.0,False
Simulated Annealing,7,107,0.0,False
Simulated Annealing,8,116,0.0009984970092773438,False
Simulated Annealing,9,77,0.0,False
Simulated Annealing,10,56,0.0,False
Simulated Annealing,11,37,0.0,False
Simulated Annealing,12,28,0.0,True
Simulated Annealing,13,39,0.0,False
Simulated Annealing,14,4,0.0,False
Simulated Annealing,15,43,0.001039743423461914,True
Simulated Annealing,16,136,0.0,True
Simulated Annealing,17,31,0.0,False
Simulated Annealing,18,123,0.0009992122650146484,True
Simulated Annealing,19,5,0.0,False
Simulated Annealing,20,137,0.0,False
Simulated Annealing,21,39,0.0010557174682617188,True
Simulated Annealing,22,158,0.0010013580322265625,False
Simulated Annealing,23,28,0.0,True
Simulated Annealing,24,72,0.0,True
Simulated Annealing,25,129,0.0,True
Simulated Annealing,26,105,0.0,True
Simulated Annealing,27,67,0.0010004043579101562,True
Simulated Annealing,28,5,0.0010025501251220703,True
Simulated Annealing,29,275,0.002010345458984375,False
Simulated Annealing,30,88,0.0,False
Hill Climbing,1,33,0.001996755599975586,False
Hill Climbing,2,22,0.0010008811950683594,False
Hill Climbing,3,355,0.021284818649291992,False
Hill Climbing,4,250,0.015051126480102539,False
Hill Climbing,5,4,0.0,False
Hill Climbing,6,206,0.014060497283935547,False
Hill Climbing,7,1000,0.06196737289428711,False
Hill Climbing,8,149,0.00905919075012207,False
Hill Climbing,9,72,0.004048585891723633,False
Hill Climbing,10,14,0.0009996891021728516,False
Hill Climbing,11,135,0.008324861526489258,False
Hill Climbing,12,6,0.0,False
Hill Climbing,13,80,0.005043745040893555,False
Hill Climbing,14,639,0.037195682525634766,False
Hill Climbing,15,166,0.009003877639770508,False
Hill Climbing,16,95,0.006003856658935547,False
Hill Climbing,17,235,0.022989988327026367,False
Hill Climbing,18,280,0.022241830825805664,False
Hill Climbing,19,395,0.024173259735107422,False
Hill Climbing,20,110,0.006997346878051758,False
Hill Climbing,21,32,0.0008909702301025391,False
Hill Climbing,22,679,0.03783917427062988,False
Hill Climbing,23,15,0.0009984970092773438,False
Hill Climbing,24,104,0.005963802337646484,False
Hill Climbing,25,90,0.006015777587890625,False
Hill Climbing,26,1000,0.05823993682861328,False
Hill Climbing,27,23,0.0009982585906982422,False
Hill Climbing,28,24,0.0010459423065185547,False
Hill Climbing,29,0,0.0,False
Hill Climbing,30,103,0.006018877029418945,False
Genetic Algorithm,1,0,0.0,False
Genetic Algorithm,2,0,0.0009961128234863281,False
Genetic Algorithm,3,0,0.0,False
Genetic Algorithm,4,4,0.0020067691802978516,False
Genetic Algorithm,5,4,0.0009567737579345703,False
Genetic Algorithm,6,7,0.0019648075103759766,False
Genetic Algorithm,7,1,0.0,False
Genetic Algorithm,8,0,0.0009958744049072266,True
Genetic Algorithm,9,0,0.0010013580322265625,False
Genetic Algorithm,10,9,0.0019960403442382812,False
Genetic Algorithm,11,1,0.0010042190551757812,False
Genetic Algorithm,12,5,0.0020008087158203125,False
Genetic Algorithm,13,0,0.0,False
Genetic Algorithm,14,4,0.0010135173797607422,True
Genetic Algorithm,15,0,0.001035451889038086,False
Genetic Algorithm,16,3,0.0009984970092773438,False
Genetic Algorithm,17,0,0.0010008811950683594,True
Genetic Algorithm,18,3,0.0010001659393310547,False
Genetic Algorithm,19,0,0.001005411148071289,False
Genetic Algorithm,20,1,0.0,False
Genetic Algorithm,21,0,0.001035451889038086,False
Genetic Algorithm,22,0,0.0010097026824951172,False
Genetic Algorithm,23,0,0.0009992122650146484,False
Genetic Algorithm,24,2,0.001071929931640625,False
Genetic Algorithm,25,4,0.001001119613647461,False
Genetic Algorithm,26,0,0.0,False
Genetic Algorithm,27,7,0.0010013580322265625,False
Genetic Algorithm,28,0,0.0,True
Genetic Algorithm,29,2,0.0009908676147460938,False
Genetic Algorithm,30,0,0.0010285377502441406,False
