Algoritmo,Iteración,Estados Visitados,Tiempos,Solución Óptima
Simulated Annealing,1,1000,0.01593470573425293,True
Simulated Annealing,2,1000,0.02779555320739746,False
Simulated Annealing,3,1000,0.01610088348388672,False
Simulated Annealing,4,1000,0.015885591506958008,False
Simulated Annealing,5,1000,0.01522684097290039,False
Simulated Annealing,6,1000,0.015116214752197266,False
Simulated Annealing,7,1000,0.01607990264892578,False
Simulated Annealing,8,575,0.009999752044677734,False
Simulated Annealing,9,635,0.010999679565429688,False
Simulated Annealing,10,1000,0.016082763671875,False
Simulated Annealing,11,1000,0.02787470817565918,False
Simulated Annealing,12,1000,0.01694655418395996,False
Simulated Annealing,13,950,0.014925718307495117,False
Simulated Annealing,14,545,0.009007453918457031,False
Simulated Annealing,15,1000,0.016066551208496094,False
Simulated Annealing,16,821,0.015061616897583008,False
Simulated Annealing,17,1000,0.015996217727661133,False
Simulated Annealing,18,1000,0.015543460845947266,False
Simulated Annealing,19,608,0.009096860885620117,False
Simulated Annealing,20,1000,0.01598381996154785,False
Simulated Annealing,21,1000,0.015814542770385742,True
Simulated Annealing,22,1000,0.016835451126098633,False
Simulated Annealing,23,1000,0.015942096710205078,False
Simulated Annealing,24,1000,0.01700758934020996,False
Simulated Annealing,25,1000,0.016950130462646484,False
Simulated Annealing,26,1000,0.027016401290893555,False
Simulated Annealing,27,487,0.007009029388427734,False
Simulated Annealing,28,865,0.014071226119995117,False
Simulated Annealing,29,1000,0.015738725662231445,False
Simulated Annealing,30,1000,0.014992475509643555,False
Hill Climbing,1,1000,0.5284028053283691,False
Hill Climbing,2,1000,0.4974844455718994,False
Hill Climbing,3,1000,0.44307708740234375,False
Hill Climbing,4,1000,0.4430520534515381,False
Hill Climbing,5,1000,0.4470984935760498,False
Hill Climbing,6,1000,0.44242405891418457,False
Hill Climbing,7,1000,0.47454118728637695,False
Hill Climbing,8,1000,0.6178131103515625,False
Hill Climbing,9,1000,0.4450564384460449,False
Hill Climbing,10,1000,0.44125962257385254,False
Hill Climbing,11,1000,0.7194240093231201,False
Hill Climbing,12,1000,0.4418790340423584,False
Hill Climbing,13,1000,0.4459564685821533,False
Hill Climbing,14,1000,0.4419894218444824,False
Hill Climbing,15,1000,0.4433152675628662,False
Hill Climbing,16,1000,0.43810510635375977,False
Hill Climbing,17,1000,0.4530963897705078,False
Hill Climbing,18,1000,0.4475100040435791,False
Hill Climbing,19,1000,0.4441494941711426,False
Hill Climbing,20,1000,0.44221997261047363,False
Hill Climbing,21,1000,0.44558143615722656,False
Hill Climbing,22,1000,0.4470179080963135,False
Hill Climbing,23,1000,0.4628946781158447,False
Hill Climbing,24,1000,0.47383904457092285,False
Hill Climbing,25,1000,0.5122988224029541,False
Hill Climbing,26,1000,0.5070617198944092,False
Hill Climbing,27,1000,0.44643449783325195,False
Hill Climbing,28,1000,0.4461023807525635,False
Hill Climbing,29,1000,0.44263386726379395,False
Hill Climbing,30,1000,0.44289326667785645,False
Genetic Algorithm,1,365,0.2670564651489258,False
Genetic Algorithm,2,1000,0.43627381324768066,False
Genetic Algorithm,3,1000,0.43935608863830566,False
Genetic Algorithm,4,859,0.37904977798461914,False
Genetic Algorithm,5,111,0.05029010772705078,False
Genetic Algorithm,6,1000,0.44059062004089355,False
Genetic Algorithm,7,1000,0.49591708183288574,False
Genetic Algorithm,8,901,0.38295698165893555,True
Genetic Algorithm,9,1000,0.43743467330932617,False
Genetic Algorithm,10,1000,0.5219547748565674,False
Genetic Algorithm,11,1000,0.4599771499633789,False
Genetic Algorithm,12,58,0.027935028076171875,False
Genetic Algorithm,13,826,0.3640165328979492,False
Genetic Algorithm,14,297,0.1319901943206787,False
Genetic Algorithm,15,1000,0.6277427673339844,False
Genetic Algorithm,16,264,0.1169898509979248,False
Genetic Algorithm,17,1000,0.673539400100708,False
Genetic Algorithm,18,1000,0.43552160263061523,False
Genetic Algorithm,19,1000,0.4632899761199951,False
Genetic Algorithm,20,463,0.20475220680236816,False
Genetic Algorithm,21,1000,0.43663573265075684,False
Genetic Algorithm,22,1000,0.4394819736480713,False
Genetic Algorithm,23,361,0.1699535846710205,False
Genetic Algorithm,24,393,0.18586015701293945,False
Genetic Algorithm,25,1000,0.6150374412536621,False
Genetic Algorithm,26,1000,0.44718146324157715,False
Genetic Algorithm,27,1000,0.43503379821777344,False
Genetic Algorithm,28,1000,0.435870885848999,False
Genetic Algorithm,29,425,0.18341875076293945,False
Genetic Algorithm,30,1000,0.4388444423675537,False
